euroc_v101_752/5000/3 : {'above_tracked': 2454, 'above_total': 2454, 'below_tracked': 458, 'below_total': 458}
euroc_v101_752/10000/1 : {'above_tracked': 1039, 'above_total': 1039, 'below_tracked': 1873, 'below_total': 1873}
euroc_v101_752/10000/2 : {'above_tracked': 1039, 'above_total': 1039, 'below_tracked': 1873, 'below_total': 1873}
euroc_v101_752/10000/3 : {'above_tracked': 1039, 'above_total': 1039, 'below_tracked': 1873, 'below_total': 1873}
euroc_v102_752/500/1 : {'above_tracked': 1648, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/500/2 : {'above_tracked': 1648, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/500/3 : {'above_tracked': 1587, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/750/1 : {'above_tracked': 1710, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/750/2 : {'above_tracked': 1710, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/750/3 : {'above_tracked': 1710, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/1000/1 : {'above_tracked': 1710, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/1000/2 : {'above_tracked': 1648, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/1000/3 : {'above_tracked': 1710, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/1250/1 : {'above_tracked': 1648, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/1250/2 : {'above_tracked': 1634, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/1250/3 : {'above_tracked': 1710, 'above_total': 1710, 'below_tracked': 0, 'below_total': 0}
euroc_v102_752/2500/1 : {'above_tracked': 1671, 'above_total': 1704, 'below_tracked': 6, 'below_total': 6}
euroc_v102_752/2500/2 : {'above_tracked': 1704, 'above_total': 1704, 'below_tracked': 6, 'below_total': 6}
euroc_v102_752/2500/3 : {'above_tracked': 1704, 'above_total': 1704, 'below_tracked': 6, 'below_total': 6}
euroc_v102_752/5000/1 : {'above_tracked': 1055, 'above_total': 1100, 'below_tracked': 532, 'below_total': 610}
